date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:33	2557/2557	---MCZ	200	added ('OK')	text/xml	date:Thu,%2018%20Jul%202024%2010:44:24%20GMT	https://www.wes.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.wes.org%2F&format=xml	D:/WORK/website%20links/wes/wes/www.wes.org/wp-json/oembed/1.0/embedd4ef	(from https://www.wes.org/)
15:09:34	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Thu,%2018%20Jul%202024%2010:44:25%20GMT	https://www.wes.org/wp-admin/admin-ajax.php	D:/WORK/website%20links/wes/wes/www.wes.org/wp-admin/admin-ajax.php	(from https://www.wes.org/)
15:09:34	322/322	---M--	200	added ('OK')	image/png	etag:%22614631bf-148%22	https://www.wes.org/wp-content/uploads/2017/09/cropped-WES-favicon-32x32.png	D:/WORK/website%20links/wes/wes/www.wes.org/wp-content/uploads/2017/09/cropped-WES-favicon-32x32.png	(from https://www.wes.org/)
15:09:34	1829/1829	---M--	200	added ('OK')	image/png	etag:%22614631bf-7a2%22	https://www.wes.org/wp-content/uploads/2017/09/cropped-WES-favicon-192x192.png	D:/WORK/website%20links/wes/wes/www.wes.org/wp-content/uploads/2017/09/cropped-WES-favicon-192x192.png	(from https://www.wes.org/)
15:09:34	1906/1906	---M--	200	added ('OK')	image/png	etag:%22614631bf-772%22	https://www.wes.org/wp-content/uploads/2017/09/cropped-WES-favicon-180x180.png	D:/WORK/website%20links/wes/wes/www.wes.org/wp-content/uploads/2017/09/cropped-WES-favicon-180x180.png	(from https://www.wes.org/)
15:09:35	0/0	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2018%20Jul%202024%2010:44:26%20GMT	https://www.wes.org/wp-content/themes/wes/	D:/WORK/website%20links/wes/wes/www.wes.org/wp-content/themes/wes/index.html	(from https://www.wes.org/)
15:09:35	0/0	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2010:44:26%20GMT	https://www.wes.org/wp-content/plugins/	D:/WORK/website%20links/wes/wes/www.wes.org/wp-content/plugins/index.html	(from https://www.wes.org/)
15:09:36	245/245	---M--	200	added ('OK')	image/png	etag:%22614631c6-f5%22	https://www.wes.org/wp-content/uploads/2017/09/wes-login-username-icon.png	D:/WORK/website%20links/wes/wes/www.wes.org/wp-content/uploads/2017/09/wes-login-username-icon.png	(from https://www.wes.org/)
15:09:36	246/246	---M--	200	added ('OK')	image/png	etag:%22614631c6-f6%22	https://www.wes.org/wp-content/uploads/2017/09/wes-login-password-icon.png	D:/WORK/website%20links/wes/wes/www.wes.org/wp-content/uploads/2017/09/wes-login-password-icon.png	(from https://www.wes.org/)
15:09:36	10016/10016	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265b3c9b7-2720%22	https://www.wes.org/wp-content/themes/wes/bound-by/refresh/svg/flag-us.svg	D:/WORK/website%20links/wes/wes/www.wes.org/wp-content/themes/wes/bound-by/refresh/svg/flag-us.svg	(from https://www.wes.org/)
